S.No.,Country,Year_2008-2009_Value,Year_2008-2009_Share,Year_2009-2010_Value,Year_2009-2010_Share,Year_2010-2011_Value,Year_2010-2011_Share,Year_2011-2012_Value,Year_2011-2012_Share,Year_2012-2013_Value,Year_2012-2013_Share,Year_2013-2014_Value,Year_2013-2014_Share,Year_2014-2015_Value,Year_2014-2015_Share,Year_2015-2016_Value,Year_2015-2016_Share,Year_2016-2017_Value,Year_2016-2017_Share,Year_2017-2018_Value,Year_2017-2018_Share,Year_2018-2019_Value,Year_2018-2019_Share,Year_2019-2020_Value,Year_2019-2020_Share,Year_2020-2021_Value,Year_2020-2021_Share,Year_2021-2022_Value,Year_2021-2022_Share,Year_2022-2023_Value,Year_2022-2023_Share,Year_2023-2024_Value,Year_2023-2024_Share,Year_2024-2025_Value,Year_2024-2025_Share
1,AFGHANISTAN,182344.16,0.2169,220362.72,0.2606,192084.44,0.1689,242911.61,0.1657,256913.51,0.1572,287887.63,0.1511,258129.99,0.1361,343603.32,0.2002,339681.55,0.1837,457689.46,0.2339,499237.48,0.2163,708458.49,0.3191,610620.02,0.2828,412904.21,0.1312,349497.81,0.0965,294271.23,0.0813,52978.61,0.0847
2,ALBANIA,5589.7,0.0066,4027.54,0.0048,5227.48,0.0046,6067.02,0.0041,9516.13,0.0058,11452.04,0.006,11864.2,0.0063,15761.32,0.0092,17712.46,0.0096,18899.84,0.0097,25841.91,0.0112,31304.91,0.0141,34619.48,0.016,41040.28,0.013,282091.42,0.0779,955574.35,0.264,10652.75,0.017
3,ALGERIA,299636.27,0.3564,273710.63,0.3237,355787.0,0.3129,399229.96,0.2723,593469.61,0.3631,645013.91,0.3386,649379.34,0.3424,513489.4,0.2992,564343.84,0.3051,530692.45,0.2712,657528.82,0.2849,431687.12,0.1945,439809.69,0.2037,523800.52,0.1664,493476.51,0.1363,702538.33,0.1941,119885.96,0.1916
6,ANGOLA,170381.68,0.2027,300573.43,0.3555,306051.0,0.2692,220531.54,0.1504,265962.37,0.1627,326612.13,0.1714,337765.8,0.1781,145440.44,0.0847,103721.2,0.0561,151360.51,0.0774,197413.38,0.0855,201921.52,0.091,192123.42,0.089,337797.68,0.1073,499169.47,0.1378,578303.97,0.1598,62785.79,0.1004
9,ANTIGUA,1314.82,0.0016,692.58,0.0008,429.26,0.0004,417.89,0.0003,738.06,0.0005,1339.51,0.0007,1278.97,0.0007,1680.01,0.001,1327.55,0.0007,1394.67,0.0007,1886.81,0.0008,1549.69,0.0007,1191.35,0.0006,1846.21,0.0006,2339.83,0.0006,12341.8,0.0034,805.82,0.0013
10,ARGENTINA,160966.71,0.1915,127646.97,0.151,184270.42,0.1621,227644.41,0.1553,294094.08,0.1799,370833.15,0.1947,281084.4,0.1482,350982.49,0.2045,342382.01,0.1851,456702.56,0.2334,391032.85,0.1694,542861.5,0.2445,508761.93,0.2356,1066132.05,0.3388,766711.04,0.2117,899051.77,0.2484,145477.44,0.2325
11,ARMENIA,9221.8,0.011,8755.04,0.0104,8996.24,0.0079,18382.13,0.0125,22043.35,0.0135,44205.11,0.0232,56035.87,0.0295,15001.63,0.0087,20326.52,0.011,21461.84,0.011,18075.61,0.0078,28605.01,0.0129,51462.16,0.0238,20436.52,0.0065,49566.44,0.0137,78813.55,0.0218,24814.53,0.0397
12,ARUBA,900.86,0.0011,699.95,0.0008,679.79,0.0006,1273.99,0.0009,1569.3,0.001,2013.65,0.0011,2378.56,0.0013,4545.62,0.0026,5307.44,0.0029,4152.99,0.0021,6748.33,0.0029,7003.48,0.0032,2069.05,0.001,4639.37,0.0015,11812.97,0.0033,12232.21,0.0034,1561.69,0.0025
13,AUSTRALIA,657633.39,0.7822,655895.11,0.7757,780297.64,0.6863,1199021.98,0.8179,1279380.49,0.7828,1395848.63,0.7327,1700121.25,0.8965,2133079.57,1.2428,1982786.24,1.0721,2585652.49,1.3216,2456008.99,1.0643,2019788.66,0.9099,2992763.87,1.3862,6184104.67,1.9651,5555482.59,1.534,6566764.17,1.8144,858059.5,1.3716
14,AUSTRIA,232281.02,0.2763,120039.04,0.142,269235.05,0.2368,163132.06,0.1113,178811.36,0.1094,203706.98,0.1069,221799.75,0.117,222762.95,0.1298,256859.69,0.1389,296472.88,0.1515,337375.05,0.1462,322884.71,0.1455,335433.26,0.1554,420510.6,0.1336,1017757.23,0.281,941251.24,0.2601,228774.74,0.3657
15,AZERBAIJAN,15910.2,0.0189,14202.1,0.0168,17527.67,0.0154,34981.6,0.0239,47495.03,0.0291,74670.28,0.0392,67597.06,0.0356,21822.15,0.0127,27053.77,0.0146,21713.98,0.0111,30626.95,0.0133,37606.14,0.0169,37621.54,0.0174,27149.22,0.0086,81373.28,0.0225,74289.72,0.0205,11918.07,0.0191
16,BAHAMAS,1034.54,0.0012,411243.13,0.4864,993037.59,0.8734,1056148.6,0.7204,1449976.69,0.8872,130219.34,0.0684,73343.18,0.0387,7892.4,0.0046,3982.13,0.0022,5204.39,0.0027,4258.1,0.0018,43132.02,0.0194,3372.6,0.0016,6011.63,0.0019,10344.33,0.0029,88347.73,0.0244,1217.4,0.0019
17,BAHARAIN IS,131407.49,0.1563,118507.43,0.1402,293276.84,0.2579,211834.41,0.1445,328366.74,0.2009,376321.12,0.1975,289651.42,0.1527,425939.57,0.2482,316258.52,0.171,358885.17,0.1834,521482.4,0.226,396962.47,0.1788,390363.06,0.1808,670604.98,0.2131,778779.62,0.215,754172.95,0.2084,111940.45,0.1789
18,BANGLADESH PR,1131721.47,1.3461,1150106.83,1.3602,1475247.5,1.2975,1838669.09,1.2542,2798257.77,1.7122,3741126.05,1.9638,3944038.17,2.0798,3952725.87,2.3029,4574043.7,2.4732,5553699.44,2.8386,6439152.25,2.7903,5817660.89,2.6207,7150929.35,3.3121,12053472.57,3.8301,9778450.59,2.7001,9161333.1,2.5313,1488646.29,2.3796
19,BARBADOS,1761.65,0.0021,2041.99,0.0024,2482.31,0.0022,3615.88,0.0025,3193.11,0.002,3895.66,0.002,6240.09,0.0033,6896.14,0.004,8294.29,0.0045,8216.93,0.0042,8707.91,0.0038,9043.18,0.0041,8199.99,0.0038,12079.32,0.0038,19252.77,0.0053,15594.73,0.0043,5038.32,0.0081
20,BELARUS,16350.95,0.0194,17968.98,0.0213,16495.8,0.0145,59738.82,0.0408,30111.21,0.0184,32544.21,0.0171,29369.31,0.0155,23474.44,0.0137,26930.16,0.0146,30690.08,0.0157,38997.39,0.0169,39502.18,0.0178,46136.74,0.0214,48682.85,0.0155,35191.95,0.0097,36287.86,0.01,6563.0,0.0105
21,BELGIUM,2030939.59,2.4156,1775704.94,2.1001,2634703.81,2.3173,3420614.59,2.3334,2992640.23,1.8311,3868685.89,2.0308,3371799.1,1.778,3295874.77,1.9202,3791503.93,2.0501,4000724.73,2.0448,4700768.29,2.037,4116419.76,1.8544,3868277.85,1.7917,7522465.09,2.3903,7099803.3,1.9604,6487206.34,1.7924,873490.38,1.3963
22,BELIZE,1312.25,0.0016,1168.78,0.0014,6524.96,0.0057,12548.61,0.0086,12808.5,0.0078,13402.48,0.007,14970.47,0.0079,9512.81,0.0055,10223.37,0.0055,8683.8,0.0044,11885.78,0.0052,10105.61,0.0046,6965.29,0.0032,11382.25,0.0036,12836.57,0.0035,11145.92,0.0031,1959.18,0.0031
23,BENIN,93677.5,0.1114,104637.95,0.1238,119939.62,0.1055,308301.1,0.2103,260476.27,0.1594,463642.15,0.2434,303851.22,0.1602,279795.15,0.163,300124.83,0.1623,308926.03,0.1579,298715.13,0.1294,229743.75,0.1035,410244.92,0.19,534781.14,0.1699,720409.46,0.1989,621582.04,0.1717,133101.34,0.2128
24,BERMUDA,351.17,0.0004,390.76,0.0005,411.33,0.0004,481.18,0.0003,733.53,0.0004,1574.44,0.0008,1667.5,0.0009,1691.08,0.001,2818.77,0.0015,2008.27,0.001,2204.35,0.001,1758.55,0.0008,3310.8,0.0015,4125.44,0.0013,4052.2,0.0011,5038.44,0.0014,614.17,0.001
25,BHUTAN,50927.26,0.0606,56085.31,0.0663,80151.85,0.0705,110440.44,0.0753,126739.17,0.0775,215494.52,0.1131,205102.76,0.1082,306807.74,0.1788,341354.14,0.1846,352001.9,0.1799,459132.95,0.199,523528.64,0.2358,519322.07,0.2405,660458.94,0.2099,866258.27,0.2392,797993.86,0.2205,155901.49,0.2492
26,BOLIVIA,4382.33,0.0052,4617.34,0.0055,7144.33,0.0063,12071.61,0.0082,31193.16,0.0191,32032.9,0.0168,43314.16,0.0228,48653.08,0.0283,53258.88,0.0288,67857.3,0.0347,73487.82,0.0318,80389.39,0.0362,69619.54,0.0322,87736.29,0.0279,61950.03,0.0171,59066.0,0.0163,11044.31,0.0177
27,BOSNIA-HRZGOVIN,2449.17,0.0029,1279.94,0.0015,1450.11,0.0013,2797.58,0.0019,3761.58,0.0023,7040.81,0.0037,10926.73,0.0058,12947.5,0.0075,8794.28,0.0048,9914.39,0.0051,11914.25,0.0052,10848.24,0.0049,11161.27,0.0052,12679.18,0.004,13886.29,0.0038,24217.27,0.0067,2114.2,0.0034
28,BOTSWANA,11704.04,0.0139,10426.09,0.0123,15288.33,0.0134,24181.23,0.0165,28004.85,0.0171,33226.16,0.0174,27079.05,0.0143,34149.14,0.0199,51686.36,0.0279,69840.13,0.0357,125351.91,0.0543,126532.25,0.057,127411.72,0.059,207735.71,0.066,135225.3,0.0373,90420.93,0.025,30713.34,0.0491
29,BR VIRGN IS,17119.26,0.0204,38970.64,0.0461,189.09,0.0002,479.29,0.0003,299.5,0.0002,243.19,0.0001,405.31,0.0002,553.5,0.0003,275.76,0.0001,491.7,0.0003,7263.0,0.0031,351.21,0.0002,188.32,0.0001,267.22,0.0001,366.33,0.0001,528.85,0.0001,262.03,0.0004
30,BRAZIL,1187440.98,1.4124,1136483.36,1.3441,1833586.35,1.6127,2757688.27,1.8811,3287202.2,2.0114,3387063.53,1.778,3634024.19,1.9163,1726086.45,1.0057,1609747.63,0.8704,1974731.34,1.0093,2661743.29,1.1534,2811824.32,1.2667,3136033.79,1.4525,4834955.97,1.5364,7960684.39,2.1981,4980912.58,1.3762,1027995.74,1.6432
32,BULGARIA,33011.76,0.0393,24128.28,0.0285,31736.99,0.0279,52059.37,0.0355,85393.39,0.0523,101801.81,0.0534,163555.97,0.0862,94946.06,0.0553,160506.35,0.0868,111676.56,0.0571,147874.07,0.0641,112420.09,0.0506,126031.82,0.0584,184187.34,0.0585,55771.83,0.0154,55799.83,0.0154,33114.55,0.0529
33,BURKINA FASO,21960.15,0.0261,17337.36,0.0205,20829.94,0.0183,40625.66,0.0277,46830.01,0.0287,62444.72,0.0328,68848.89,0.0363,71610.75,0.0417,77113.28,0.0417,95653.1,0.0489,127193.4,0.0551,109074.68,0.0491,153836.4,0.0713,146552.11,0.0466,170058.28,0.047,185187.44,0.0512,18286.13,0.0292
34,BURUNDI,6494.28,0.0077,5964.6,0.0071,7342.0,0.0065,11665.58,0.008,17719.6,0.0108,18550.24,0.0097,19255.58,0.0102,18999.97,0.0111,24027.12,0.013,24546.01,0.0125,34079.51,0.0148,41435.56,0.0187,47468.24,0.022,45051.97,0.0143,141939.91,0.0392,99983.45,0.0276,5406.67,0.0086
35,C AFRI REP,1122.73,0.0013,2409.5,0.0028,1597.02,0.0014,3051.82,0.0021,4583.9,0.0028,4615.46,0.0024,4735.72,0.0025,6054.76,0.0035,6897.65,0.0037,19251.39,0.0098,19131.15,0.0083,39526.75,0.0178,17567.02,0.0081,15044.04,0.0048,34538.81,0.0095,31804.74,0.0088,2589.63,0.0041
36,CAMBODIA,21507.71,0.0256,21553.19,0.0255,30483.23,0.0268,47753.35,0.0326,60998.6,0.0373,85808.61,0.045,87409.72,0.0461,93502.35,0.0545,70495.74,0.0381,78293.09,0.04,137081.94,0.0594,133176.63,0.06,124752.1,0.0578,148094.49,0.0471,16582.74,0.0046,54002.75,0.0149,25393.4,0.0406
